,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,602382,597462,184821,129013,452826,2485,310,1077,456698
1,AR,1266127,1233793,952065,114801,1065537,11471,162,1501,1078671
2,AZ & NM,229336,229336,141004,28733,216278,29351,2259,1667,249555
3,CA,272456,272456,185212,25307,246248,33178,3029,3365,285820
4,GA,2029910,1790833,487129,570005,1583782,32622,4986,2830,1624220
5,KS & OK,621679,610961,96580,125934,498673,1083,139,521,500416
6,LA,264454,264278,129734,35325,174848,539,114,1269,176770
7,MO,320299,320299,243891,27039,274759,1481,37,198,276475
8,MS,798439,699796,495990,69514,578360,8407,371,2754,589892
9,NC & VA,878197,828255,213605,171838,678815,19247,2826,2127,703015
10,SC,278689,274018,156324,25503,243844,1876,196,524,246440
11,TN,858802,822176,660562,68318,740019,22046,1403,1782,765250
12,TX,5601681,5097442,1983939,660447,4007939,154705,18083,34846,4215573
13,--TOTAL,14022451,13041105,5930856,2051777,10761928,318491,33915,54461,11168795
