,Region,2021,2022,2023,2024,2025
0,AL & FL,673324,851865,742290,705150,606311
1,AR,1194630,1349849,1152522,1623388,1286870
2,AZ & NM,353185,341422,276648,306382,240488
3,CA,274044,319244,202803,280839,284698
4,GA,2643721,3168853,2380984,2258906,2094889
5,KS & OK,769211,424205,389549,476069,656839
6,LA,255930,412583,244549,379254,264542
7,MO,315831,398195,382134,388113,320299
8,MS,1032661,1254937,932273,1163302,823419
9,NC & VA,970001,1247953,949364,1034626,898511
10,SC,396500,437669,315342,323353,278777
11,TN,1123629,1381504,1354720,1513721,884761
12,TX,7982243,3401249,3076919,4611382,5836744
