,Region,2021,2022,2023,2024,2025
0,AL & FL,573804,737346,675927,641259,554412
1,AR,1088349,1146714,1092406,1383166,1204576
2,AZ & NM,206494,185987,173766,158471,126340
3,CA,236608,263551,177623,215529,203439
4,GA,1863180,2466255,1813580,1621626,1540695
5,KS & OK,508907,312084,325779,362012,402617
6,LA,255553,397852,244297,376081,264229
7,MO,268843,346422,347307,358327,290534
8,MS,920116,1233595,926225,1124683,720412
9,NC & VA,883120,1098579,860572,887353,771192
10,SC,290291,325637,255184,264047,218146
11,TN,1007582,1203807,1204285,1357689,775825
12,TX,6051594,2931001,2850943,3781352,4323211
