,Region,2021,2022,2023,2024,2025
0,AL & FL,709880,879927,768472,719602,618682
1,AR,1239310,1453812,1255493,1701162,1334892
2,AZ & NM,389400,389744,297501,333874,276273
3,CA,276752,323516,204197,285457,304939
4,GA,2947590,3419838,2610448,2645463,2457529
5,KS & OK,829948,470665,398736,531224,788375
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1139804,1278108,1021390,1256806,938576
9,NC & VA,1063438,1345207,1093707,1188363,1043603
10,SC,410772,443932,327939,340405,292213
11,TN,1152766,1508773,1498501,1694681,994188
12,TX,8551578,3579711,3368851,5172887,6557332
