,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,107773,107773,0,9692,107687,12561,351,1108,121707
1,AR,339600,339600,7414,42594,339600,81766,241,1520,423127
2,AZ & NM,10240,10240,0,9705,10240,73641,2651,1799,88331
3,CA,13720,13720,211,10429,13720,64859,3029,3365,84973
4,GA,148653,148291,0,47141,147721,98875,5997,2832,255425
5,KS & OK,35018,35018,0,90,35018,4719,524,833,41094
6,LA,113685,113685,14778,2112,113683,3202,134,1270,118289
7,MO,52317,52317,0,4987,52317,16398,47,208,68970
8,MS,248732,248732,16224,41874,248731,58268,1404,3118,311521
9,NC & VA,47474,47388,0,64505,47473,96024,3243,2445,149185
10,SC,10042,10038,0,16022,10038,20793,286,526,31643
11,TN,219663,218863,33550,81817,218863,152262,1602,1841,374568
12,TX,1256950,1222654,201995,233619,1032942,325505,19030,38736,1416213
13,--TOTAL,2603867,2568319,274172,564587,2378033,1008873,38539,59601,3485046
