,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,22530,24211,82577,708,546,666,84497
1,AR,1737148,1582512,305086,80185,423950,1530,1069,781,427330
2,AZ & NM,339115,331915,121602,9656,160404,3950,2547,493,167394
3,CA,285457,285457,96945,4426,122482,4033,2668,1202,130385
4,GA,2881788,1949409,103976,148033,398170,9819,1253,1812,411054
5,KS & OK,541150,425132,4691,5791,30952,646,829,440,32867
6,LA,379254,379254,23240,11778,38669,299,825,549,40342
7,MO,388113,388113,63946,13340,81578,67,159,250,82054
8,MS,1415237,1104908,246461,120053,424915,6786,2381,904,434986
9,NC & VA,1266639,1002859,100343,83467,394509,4274,1712,1043,401538
10,SC,363003,321249,44848,25319,91112,370,194,333,92009
11,TN,1819600,1410500,295518,162223,601781,3184,768,2640,608373
12,TX,5554244,4025555,265076,147830,918344,23471,19788,21661,983264
13,--TOTAL,17691591,13913009,1694262,836312,3769443,59137,34739,32774,3896093
