,Region,2021,2022,2023,2024,2025
0,AL & FL,721903,883701,770502,720043,622118
1,AR,1246416,1460614,1259998,1709781,1336153
2,AZ & NM,390032,392715,298170,334574,276273
3,CA,276752,323516,204597,285457,304939
4,GA,3005500,3445596,2637640,2692426,2488094
5,KS & OK,830293,474527,403196,536767,800898
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382310,388113,320299
8,MS,1156607,1293450,1032196,1279535,958579
9,NC & VA,1068952,1353084,1107288,1200400,1052986
10,SC,416097,446685,330184,343491,292300
11,TN,1162977,1515834,1522144,1702936,1002057
12,TX,8621758,3598437,3407438,5222545,6657089
