,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777548,720843,629065
1,AR,1267287,1498530,1267272,1735936,1349189
2,AZ & NM,390822,394725,302274,339115,277940
3,CA,276934,323517,204697,285457,304939
4,GA,3183526,3616947,2757996,2875161,2611714
5,KS & OK,845176,497528,406675,541150,834376
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1187451,1370665,1082905,1410836,1041855
9,NC & VA,1104503,1379823,1145622,1263428,1084311
10,SC,434683,460915,339213,362748,294777
11,TN,1207657,1549559,1609724,1808593,1094151
12,TX,8905376,3738755,3600485,5538797,7308832
