,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,43,43,0,17236,43,38306,330,1035,39714
1,AR,20958,20958,0,82043,20958,176306,1286,838,199388
2,AZ & NM,4159,4159,599,9855,4159,84619,5183,2133,96094
3,CA,475,475,475,22692,475,52720,12340,2286,67821
4,GA,992,992,0,66140,992,129768,3532,3611,137903
5,KS & OK,0,0,0,3309,0,17892,102,222,18216
6,LA,17269,17269,0,5272,17269,6770,274,630,24943
7,MO,0,0,0,10787,0,43079,160,144,43383
8,MS,714,714,0,64715,714,103170,588,1242,105714
9,NC & VA,0,0,0,94259,0,130900,3322,3351,137573
10,SC,0,0,0,18407,0,27667,312,605,28584
11,TN,3252,3252,0,70625,3252,214477,3090,795,221614
12,TX,574919,570497,116914,194967,539293,639281,26425,39647,1244646
13,--TOTAL,622781,618359,117988,660307,587155,1664955,56944,56539,2365593
