,Region,2021,2022,2023,2024,2025
0,AL & FL,690045,868453,749014,716786,607982
1,AR,1224176,1416382,1206391,1659127,1319261
2,AZ & NM,384346,379954,292343,330856,269906
3,CA,276743,323476,203807,285359,304367
4,GA,2802402,3335209,2506089,2469278,2324259
5,KS & OK,822017,447301,390598,498851,739571
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1089580,1260614,952441,1196545,888578
9,NC & VA,1009829,1297993,1020013,1130093,962639
10,SC,399537,439935,321513,331190,289773
11,TN,1147733,1466634,1423508,1626120,959587
12,TX,8354380,3506318,3169064,4932245,6208065
