,Region,2021,2022,2023,2024,2025
0,AL & FL,671365,844861,742100,699695,603481
1,AR,1187097,1326526,1143345,1616327,1269343
2,AZ & NM,337002,316221,268685,293900,232881
3,CA,271329,314152,202043,277917,276229
4,GA,2599261,3121748,2339882,2186724,2048658
5,KS & OK,748968,422188,387136,469544,631434
6,LA,255924,408461,244549,379248,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1021578,1253209,931658,1158114,803721
9,NC & VA,965012,1237298,947240,1018042,880738
10,SC,395644,434470,315042,321368,278689
11,TN,1111853,1360955,1329309,1491300,863640
12,TX,7842026,3374556,3065631,4520149,5666794
