,Region,2021,2022,2023,2024,2025
0,AL & FL,708308,878697,764856,719250,617002
1,AR,1236607,1445227,1235651,1694285,1332559
2,AZ & NM,388745,387988,297136,333175,274166
3,CA,276752,323516,204197,285457,304939
4,GA,2925371,3401597,2590236,2608739,2427077
5,KS & OK,829914,467588,393926,521386,776216
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1125159,1267131,1009288,1242836,923460
9,NC & VA,1060362,1332533,1083875,1182210,1029505
10,SC,407497,441326,324799,339264,292128
11,TN,1149143,1490165,1480895,1681395,988054
12,TX,8521203,3555208,3333640,5127473,6452375
