,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,619386,599839,9833,106620,215541,1578,307,1066,218492
1,AR,1335250,1240091,128234,325769,730038,5233,162,1333,736766
2,AZ & NM,276273,271867,107586,50678,192443,7581,1641,1666,203331
3,CA,304939,304939,135287,14188,184750,25437,2798,2007,214992
4,GA,2468423,1798901,23244,476096,759446,24395,4882,2658,791381
5,KS & OK,794872,741146,64958,182124,372959,656,127,339,374081
6,LA,264630,264278,5774,37351,71499,286,112,978,72875
7,MO,320299,320299,51012,60819,161387,527,37,135,162086
8,MS,945350,699823,54887,162341,458512,2367,364,1828,463071
9,NC & VA,1046916,835179,23454,148836,426940,7909,2602,1993,439444
10,SC,292300,274018,2545,73403,149269,1249,166,451,151135
11,TN,995759,850535,210087,206758,633614,9897,1605,1709,646825
12,TX,6588045,5206023,467936,911003,2627107,90137,17208,31874,2766326
13,--TOTAL,16252442,13406938,1284837,2755986,6983505,177252,32011,48037,7240805
