,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,600051,596100,197673,112721,465889,2575,310,1077,469851
1,AR,1263160,1233793,988020,84708,1070874,12351,162,1501,1084888
2,AZ & NM,220879,220879,136895,28078,210522,29351,2259,1667,243799
3,CA,264544,264544,198828,17172,243694,33785,3029,3365,283873
4,GA,1978268,1781678,486859,525490,1591795,34182,5080,2832,1633889
5,KS & OK,597745,589025,91091,118598,484238,1237,139,523,486137
6,LA,264454,264278,138671,30045,179283,627,114,1269,181293
7,MO,320299,320299,252679,21798,278932,1569,37,198,280736
8,MS,794054,699796,517559,48185,579454,8491,371,2754,591070
9,NC & VA,866189,825347,218372,160662,692008,19435,2826,2127,716396
10,SC,278601,274018,163597,20999,248127,1876,196,524,250723
11,TN,850876,815220,676576,52367,735994,22573,1403,1782,761752
12,TX,5497798,5059074,1977647,641576,4051686,161163,18101,35293,4266243
13,--TOTAL,13796918,12944051,6044467,1862399,10832496,329215,34027,54912,11250650
